"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","W3","07-Sep-2020","        328.00","        330.00","        330.45","        327.00","        328.00","        327.85","        329.16","      17400","             5727360.00","         22","      16800","         96.55"
"HDFC","EQ","08-Sep-2020","       1791.10","       1785.10","       1793.25","       1770.80","       1775.35","       1777.30","       1782.90","    2456321","          4379379509.60","     126617","    1104446","         44.96"
"HDFC","W3","08-Sep-2020","        327.85","        329.85","        329.95","        326.25","        326.25","        326.25","        328.51","       4800","             1576830.00","          8","       3600","         75.00"
"HDFC","EQ","09-Sep-2020","       1777.30","       1759.55","       1777.90","       1755.00","       1763.50","       1760.75","       1761.89","    2509630","          4421689794.65","     111531","    1287217","         51.29"
"HDFC","W3","09-Sep-2020","        326.25","        322.15","        325.95","        320.00","        324.95","        324.95","        323.75","      28200","             9129660.00","         34","      24000","         85.11"
"HDFC","EQ","10-Sep-2020","       1760.75","       1781.00","       1792.95","       1760.00","       1770.50","       1777.45","       1774.76","    3245630","          5760203452.00","     118585","    1643387","         50.63"
"HDFC","W3","10-Sep-2020","        324.95","        321.05","        324.00","        321.00","        322.05","        322.70","        323.55","      46800","            15142290.00","         19","      43800","         93.59"
"HDFC","EQ","11-Sep-2020","       1777.45","       1771.00","       1786.00","       1760.00","       1765.05","       1768.15","       1768.63","    2232185","          3947909487.85","      89221","    1089424","         48.81"
"HDFC","W3","11-Sep-2020","        322.70","        322.05","        322.05","        315.25","        318.00","        318.00","        318.31","      39600","            12604950.00","         60","      36600","         92.42"
"HDFC","EQ","14-Sep-2020","       1768.15","       1781.00","       1796.85","       1728.40","       1736.05","       1738.00","       1759.24","    4061493","          7145131677.05","     168602","    2125122","         52.32"
"HDFC","W3","14-Sep-2020","        318.00","        318.00","        320.00","        310.10","        314.00","        313.15","        317.40","      31800","            10093470.00","         32","      28800","         90.57"
"HDFC","EQ","15-Sep-2020","       1738.00","       1754.90","       1777.00","       1742.80","       1763.00","       1758.75","       1760.23","    3159537","          5561510107.35","     109456","    1313661","         41.58"
"HDFC","W3","15-Sep-2020","        313.15","        315.05","        315.05","        311.55","        315.00","        315.00","        314.84","      15000","             4722630.00","         21","      13800","         92.00"
"HDFC","EQ","16-Sep-2020","       1758.75","       1766.00","       1774.70","       1743.45","       1768.00","       1768.15","       1759.83","    2592551","          4562444206.65","     108625","    1195298","         46.11"
"HDFC","W3","16-Sep-2020","        315.00","        320.00","        324.00","        315.10","        319.00","        318.80","        319.81","      55200","            17653680.00","         47","      52200","         94.57"
"HDFC","EQ","17-Sep-2020","       1768.15","       1750.00","       1773.20","       1736.50","       1749.00","       1744.35","       1749.72","    3191905","          5584934693.60","     127780","    1681077","         52.67"
"HDFC","W3","17-Sep-2020","        318.80","        319.95","        320.10","        318.05","        318.05","        318.05","        320.02","     166200","            53187120.00","         22","     165600","         99.64"
"HDFC","EQ","18-Sep-2020","       1744.35","       1752.90","       1754.75","       1708.30","       1732.60","       1724.00","       1730.17","    5642506","          9762521717.90","     179497","    3398976","         60.24"
"HDFC","W3","18-Sep-2020","        318.05","        317.25","        318.45","        312.00","        314.95","        314.95","        315.56","      12000","             3786660.00","         19","      10200","         85.00"
"HDFC","EQ","21-Sep-2020","       1724.00","       1722.80","       1738.75","       1701.85","       1707.75","       1708.15","       1723.01","    3174505","          5469699128.35","     130442","    1393352","         43.89"
"HDFC","W3","21-Sep-2020","        314.95","        315.00","        317.95","        310.00","        310.00","        310.00","        312.20","       9600","             2997150.00","         15","       7800","         81.25"
"HDFC","EQ","22-Sep-2020","       1708.15","       1716.25","       1716.25","       1672.00","       1676.40","       1674.85","       1686.53","    3615745","          6098064204.15","     178315","    1683578","         46.56"
"HDFC","W3","22-Sep-2020","        310.00","        301.10","        305.00","        297.10","        300.00","        300.00","        303.42","      97200","            29492790.00","        134","      90600","         93.21"
"HDFC","EQ","23-Sep-2020","       1674.85","       1694.00","       1696.65","       1650.40","       1667.00","       1667.10","       1673.26","    4803637","          8037715006.55","     200608","    2480737","         51.64"
"HDFC","W3","23-Sep-2020","        300.00","        298.00","        301.00","        297.00","        298.20","        298.20","        299.80","      16800","             5036640.00","         16","      16800","        100.00"
"HDFC","EQ","24-Sep-2020","       1667.10","       1646.80","       1654.15","       1623.00","       1636.25","       1636.85","       1637.34","    5673754","          9289858199.50","     197468","    3616243","         63.74"
"HDFC","W3","24-Sep-2020","        298.20","        299.95","        300.00","        295.70","        300.00","        300.00","        299.28","       7200","             2154810.00","          8","       6000","         83.33"
"HDFC","EQ","25-Sep-2020","       1636.85","       1651.95","       1657.80","       1628.10","       1652.75","       1652.00","       1645.77","    4046773","          6660064454.65","     134783","    2124259","         52.49"
"HDFC","W3","25-Sep-2020","        300.00","        299.95","        300.00","        296.15","        300.00","        300.00","        299.40","       7800","             2335320.00","         10","       6600","         84.62"
"HDFC","EQ","28-Sep-2020","       1652.00","       1672.90","       1692.60","       1658.00","       1685.00","       1681.45","       1678.77","    2739071","          4598260285.25","     105938","    1386203","         50.61"
"HDFC","W3","28-Sep-2020","        300.00","        300.00","        300.00","        298.00","        300.00","        300.00","        299.89","      38400","            11515770.00","         44","      37200","         96.88"
"HDFC","EQ","29-Sep-2020","       1681.45","       1692.00","       1720.00","       1682.10","       1712.65","       1713.10","       1701.62","    3696138","          6289406784.85","     143476","    2122646","         57.43"
"HDFC","W3","29-Sep-2020","        300.00","        300.00","        300.50","        299.00","        299.00","        299.00","        299.99","      26400","             7919700.00","         33","      25800","         97.73"
"HDFC","EQ","30-Sep-2020","       1713.10","       1716.90","       1744.25","       1703.20","       1733.00","       1740.05","       1728.35","    3594715","          6212925377.20","     170194","    2067861","         57.53"
"HDFC","W3","30-Sep-2020","        299.00","        295.00","        299.95","        295.00","        298.50","        298.50","        298.77","      12600","             3764550.00","         19","       9600","         76.19"
"HDFC","EQ","01-Oct-2020","       1740.05","       1755.00","       1799.85","       1750.00","       1787.80","       1790.65","       1784.49","    3706206","          6613676466.65","     126251","    2061655","         55.63"
"HDFC","W3","01-Oct-2020","        298.50","        300.00","        300.00","        298.10","        300.00","        299.55","        299.92","      51000","            15295980.00","         67","      46800","         91.76"
"HDFC","EQ","05-Oct-2020","       1790.65","       1784.00","       1816.50","       1775.70","       1782.35","       1785.10","       1799.82","    4056801","          7301503880.55","     184302","    2232184","         55.02"
"HDFC","W3","05-Oct-2020","        299.55","        304.95","        305.00","        300.00","        304.00","        304.95","        304.58","      55200","            16812540.00","         19","      51000","         92.39"
"HDFC","EQ","06-Oct-2020","       1785.10","       1803.15","       1943.70","       1803.15","       1920.00","       1934.40","       1896.91","   16829628","         31924298556.20","     538170","    6898727","         40.99"
"HDFC","W3","06-Oct-2020","        304.95","        314.95","        321.70","        309.00","        320.00","        319.95","        316.82","     256800","            81358110.00","        224","     230400","         89.72"
"HDFC","EQ","07-Oct-2020","       1934.40","       1945.00","       1964.85","       1908.85","       1952.00","       1948.75","       1941.72","    7038044","         13665892734.05","     249998","    3070679","         43.63"
"HDFC","W3","07-Oct-2020","        319.95","        319.70","        320.00","        317.00","        319.95","        318.85","        319.56","      39600","            12654600.00","         58","      27600","         69.70"
"HDFC","EQ","08-Oct-2020","       1948.75","       1952.50","       1988.45","       1938.50","       1947.80","       1949.25","       1965.11","    4589506","          9018901318.10","     200847","    2136183","         46.54"
"HDFC","W3","08-Oct-2020","        318.85","        319.95","        329.95","        319.00","        320.25","        321.70","        322.41","     136200","            43912050.00","        145","     111000","         81.50"
"HDFC","EQ","09-Oct-2020","       1949.25","       1945.00","       2029.85","       1938.00","       1966.00","       1957.65","       1987.39","   10848230","         21559674796.75","     324810","    4276466","         39.42"
"HDFC","W3","09-Oct-2020","        321.70","        326.70","        346.70","        322.50","        332.40","        330.25","        329.62","     216600","            71395950.00","        260","     137400","         63.43"
"HDFC","EQ","12-Oct-2020","       1957.65","       1965.00","       1998.95","       1942.30","       1963.95","       1965.40","       1967.77","    3651557","          7185427648.95","     138149","    1053568","         28.85"
"HDFC","W3","12-Oct-2020","        330.25","        337.85","        337.85","        330.00","        332.00","        333.15","        332.29","      79200","            26317680.00","         90","      61800","         78.03"
"HDFC","EQ","13-Oct-2020","       1965.40","       1962.00","       1986.65","       1930.55","       1939.00","       1943.40","       1955.06","    3351027","          6551466215.45","     136009","    1305139","         38.95"
"HDFC","W3","13-Oct-2020","        333.15","        331.05","        331.05","        325.00","        325.00","        325.00","        329.57","     134400","            44293680.00","         84","     120600","         89.73"
"HDFC","EQ","14-Oct-2020","       1943.40","       1935.00","       1989.00","       1919.05","       1978.10","       1979.85","       1950.10","    3108218","          6061329760.35","     117744","    1014216","         32.63"
"HDFC","W3","14-Oct-2020","        325.00","        321.10","        330.00","        321.00","        330.00","        329.95","        328.91","      30000","             9867150.00","         34","      23400","         78.00"
"HDFC","EQ","15-Oct-2020","       1979.85","       1983.00","       2020.00","       1938.25","       1947.05","       1947.20","       1983.18","    5170267","         10253552906.45","     185795","    1947869","         37.67"
"HDFC","W3","15-Oct-2020","        329.95","        330.00","        342.20","        319.00","        320.00","        320.00","        329.88","      85200","            28105470.00","         83","      62400","         73.24"
"HDFC","EQ","16-Oct-2020","       1947.20","       1948.40","       1983.70","       1939.35","       1958.60","       1961.70","       1959.14","    3238617","          6344903291.90","     131973","    1233662","         38.09"
"HDFC","W3","16-Oct-2020","        320.00","        320.05","        326.00","        320.05","        326.00","        326.00","        324.01","       2400","              777630.00","          3","       1800","         75.00"
"HDFC","EQ","19-Oct-2020","       1961.70","       1985.00","       2039.90","       1983.10","       2033.25","       2031.50","       2020.74","    6591617","         13319959804.00","     188322","    2827799","         42.90"
